row_idx,subject_id,sentence_index,task_name,split_name,pickle_file,target_string,seq_len
0,ZAB,0,task3-TSR-2.0,train,v1-task1-SR-ZAB-0.pickle,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.,18
1,ZAB,1,task3-TSR-2.0,train,v1-task1-SR-ZAB-1.pickle,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",20
2,ZAB,10,task3-TSR-2.0,train,v1-task1-SR-ZAB-10.pickle,"Frida is certainly no disaster, but neither is it the Kahlo movie Frida fans have been looking for.",14
3,ZAB,100,task3-TSR-2.0,train,v1-task1-SR-ZAB-100.pickle,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one.",18
4,ZAB,101,task3-TSR-2.0,train,v1-task1-SR-ZAB-101.pickle,"At its worst the screenplay is callow, but at its best it is a young artist's thoughtful consideration of fatherhood.",15
5,ZAB,102,task3-TSR-2.0,train,v1-task1-SR-ZAB-102.pickle,At 78 minutes it just zings along with vibrance and warmth.,10
6,ZAB,103,task3-TSR-2.0,train,v1-task1-SR-ZAB-103.pickle,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",21
7,ZAB,104,task3-TSR-2.0,train,v1-task1-SR-ZAB-104.pickle,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",16
8,ZAB,105,task3-TSR-2.0,train,v1-task1-SR-ZAB-105.pickle,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",10
9,ZAB,106,task3-TSR-2.0,train,v1-task1-SR-ZAB-106.pickle,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,23
10,ZAB,107,task3-TSR-2.0,train,v1-task1-SR-ZAB-107.pickle,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,13
11,ZAB,108,task3-TSR-2.0,train,v1-task1-SR-ZAB-108.pickle,"Just about the best straight-up, old-school horror film of the last 15 years.",11
12,ZAB,109,task3-TSR-2.0,train,v1-task1-SR-ZAB-109.pickle,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",18
13,ZAB,11,task3-TSR-2.0,train,v1-task1-SR-ZAB-11.pickle,The film often achieves a mesmerizing poetry.,8
14,ZAB,110,task3-TSR-2.0,train,v1-task1-SR-ZAB-110.pickle,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",11
15,ZAB,111,task3-TSR-2.0,train,v1-task1-SR-ZAB-111.pickle,Better at putting you to sleep than a sound machine.,9
16,ZAB,112,task3-TSR-2.0,train,v1-task1-SR-ZAB-112.pickle,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,14
17,ZAB,113,task3-TSR-2.0,train,v1-task1-SR-ZAB-113.pickle,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",18
18,ZAB,114,task3-TSR-2.0,train,v1-task1-SR-ZAB-114.pickle,"Ultimate X is a ride, basically the kind of greatest-hits reel that might come with a subscription to ESPN the Magazine.",16
19,ZAB,115,task3-TSR-2.0,train,v1-task1-SR-ZAB-115.pickle,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",18
20,ZAB,116,task3-TSR-2.0,train,v1-task1-SR-ZAB-116.pickle,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",14
21,ZAB,117,task3-TSR-2.0,train,v1-task1-SR-ZAB-117.pickle,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.,17
22,ZAB,118,task3-TSR-2.0,train,v1-task1-SR-ZAB-118.pickle,"Some elements of it really blow the big one, but other parts are decent.",11
23,ZAB,119,task3-TSR-2.0,train,v1-task1-SR-ZAB-119.pickle,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.",22
24,ZAB,12,task3-TSR-2.0,train,v1-task1-SR-ZAB-12.pickle,A work of astonishing delicacy and force.,7
25,ZAB,120,task3-TSR-2.0,train,v1-task1-SR-ZAB-120.pickle,"I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism.",19
26,ZAB,121,task3-TSR-2.0,train,v1-task1-SR-ZAB-121.pickle,The simplicity of The Way Home has few equals this side of Aesop.,10
27,ZAB,122,task3-TSR-2.0,train,v1-task1-SR-ZAB-122.pickle,Exceptionally well acted by Diane Lane and Richard Gere.,8
28,ZAB,123,task3-TSR-2.0,train,v1-task1-SR-ZAB-123.pickle,"Dong shows how intolerance has the power to deform families, then tear them apart.",12
29,ZAB,124,task3-TSR-2.0,train,v1-task1-SR-ZAB-124.pickle,"A stupid, derivative horror film that substitutes extreme gore for suspense.",9
30,ZAB,125,task3-TSR-2.0,train,v1-task1-SR-ZAB-125.pickle,It's a great American adventure and a wonderful film to bring to IMAX.,10
31,ZAB,126,task3-TSR-2.0,train,v1-task1-SR-ZAB-126.pickle,It's 51 times better than this.,6
32,ZAB,127,task3-TSR-2.0,train,v1-task1-SR-ZAB-127.pickle,"It's like an old Warner Bros. costumer jived with sex -- this could be the movie Errol Flynn always wanted to make, though Bette Davis, cast as Joan, would have killed him.",28
33,ZAB,128,task3-TSR-2.0,train,v1-task1-SR-ZAB-128.pickle,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.",11
34,ZAB,129,task3-TSR-2.0,train,v1-task1-SR-ZAB-129.pickle,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries.",21
35,ZAB,13,task3-TSR-2.0,train,v1-task1-SR-ZAB-13.pickle,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",20
36,ZAB,130,task3-TSR-2.0,train,v1-task1-SR-ZAB-130.pickle,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.",27
37,ZAB,131,task3-TSR-2.0,train,v1-task1-SR-ZAB-131.pickle,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,12
38,ZAB,132,task3-TSR-2.0,train,v1-task1-SR-ZAB-132.pickle,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all.",13
39,ZAB,133,task3-TSR-2.0,train,v1-task1-SR-ZAB-133.pickle,And I've decided to leave a light on every night from now on.,10
