held_out_subject,n,accuracy
YAC,692,0.6647398843930635
YAG,978,0.6595092024539877
YAK,816,0.5526960784313726
YDG,987,0.6453900709219859
YDR,983,0.6653102746693794
YFR,633,0.636650868878357
YFS,964,0.66701244813278
YHS,991,0.6639757820383451
YIS,989,0.6592517694641051
YLS,972,0.6275720164609053
YMD,962,0.6559251559251559
YMS,970,0.6237113402061856
YRH,836,0.5322966507177034
YRK,956,0.41841004184100417
YRP,970,0.6608247422680412
YSD,989,0.6521739130434783
YSL,974,0.37782340862423
YTL,982,0.6629327902240326
