fold,held_out_subject,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,n_test
1,ZAB,26,0.3367235821854379,0.3359173126614987,0.34283470153035367,0.29848411899447047,387
2,ZDM,43,0.3734974274342778,0.33773087071240104,0.3328378090366581,0.21646099765262752,379
3,ZDN,37,0.3658039813105682,0.370242214532872,0.3333333333333333,0.18013468013468015,289
4,ZGW,15,0.35521078682369006,0.34594594594594597,0.3379562254840544,0.2782081817411994,370
5,ZJM,14,0.36569089886774037,0.30456852791878175,0.32418938798541,0.2564550157571087,394
6,ZJN,45,0.3446427853836786,0.3447368421052632,0.3355457227138643,0.25417368834962367,380
7,ZJS,33,0.35716573789361594,0.344311377245509,0.34018912529550827,0.33519559421963874,334
8,ZKB,47,0.35516880587547867,0.3629441624365482,0.35824113818189146,0.2759388935160907,394
9,ZKH,29,0.366753158541453,0.3669250645994832,0.37160906726124115,0.29471497208154784,387
10,ZKW,18,0.3641884844255345,0.31218274111675126,0.314171351994035,0.27259236578122026,394
11,ZMG,45,0.3499392570783369,0.32105263157894737,0.3475430658093197,0.24472388297257652,380
12,ZPH,24,0.35823274629407065,0.3402061855670103,0.32830373679050007,0.17420891765551957,388
