fold,held_out_subject,init_mode,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,n_test
1,ZAB,pretrained,8,0.3440328992905128,0.3049095607235142,0.3309798092406788,0.19691797001778885,387
2,ZDM,pretrained,19,0.3381993159116785,0.3720316622691293,0.3620191283034953,0.2996870470282238,379
3,ZDN,pretrained,20,0.38380486237864136,0.3771626297577855,0.3687060060722221,0.3478104283528812,289
4,ZGW,pretrained,16,0.3482467310667578,0.3810810810810811,0.3755990109559438,0.3535781434639486,370
5,ZJM,pretrained,21,0.3505561360733775,0.36548223350253806,0.3648585333413941,0.31869321879474166,394
6,ZJN,pretrained,19,0.3491837195891713,0.3605263157894737,0.35860775439000836,0.2973032598041059,380
7,ZJS,pretrained,20,0.34482190829515263,0.3383233532934132,0.3530732860520094,0.32765926756660446,334
8,ZKB,pretrained,21,0.3618958224109066,0.3350253807106599,0.328255043024404,0.2754578754578754,394
9,ZKH,pretrained,8,0.3515648859007616,0.3178294573643411,0.34739254304471695,0.18864696526190572,387
10,ZKW,pretrained,12,0.37294642565759445,0.3426395939086294,0.3524323398424118,0.287590147284349,394
11,ZMG,pretrained,5,0.3553931482911445,0.35789473684210527,0.3452316689158795,0.2666831294689649,380
12,ZPH,pretrained,14,0.3485332196447634,0.3556701030927835,0.33582089552238803,0.17983425156845745,388
