fold,held_out_subject,init_mode,best_epoch,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,n_test
1,ZAB,random,16,0.34055307177877453,0.35917312661498707,0.3503203720595025,0.3368606844689402,387
2,ZDM,random,25,0.36604206126370537,0.38786279683377306,0.3951832907075874,0.37996896151976367,379
3,ZDN,random,18,0.3465379423806764,0.3460207612456747,0.3532050665927898,0.2965773146281243,289
4,ZGW,random,18,0.3490354799957231,0.34864864864864864,0.3609518210468489,0.3231164222598233,370
5,ZJM,random,22,0.37054393204912756,0.33248730964467005,0.3379027870140862,0.3276446370141311,394
6,ZJN,random,19,0.3292327881975112,0.3605263157894737,0.3484748388310266,0.3336095078508037,380
7,ZJS,random,24,0.3479282165325422,0.3143712574850299,0.2970449172576832,0.21226199829579737,334
8,ZKB,random,12,0.34914416488859695,0.3426395939086294,0.36548576265038385,0.2795330352707402,394
9,ZKH,random,17,0.36908815928029964,0.35917312661498707,0.3728196119500467,0.2920439951852299,387
10,ZKW,random,11,0.35065702845702845,0.383248730964467,0.37463474598472485,0.3479482675509371,394
11,ZMG,random,7,0.3433770053475936,0.3447368421052632,0.34754637347516604,0.3439333322955422,380
12,ZPH,random,5,0.3273776288851666,0.3427835051546392,0.3359059403835523,0.22501747030048916,388
