held_out_subject,n,accuracy
YAC,692,0.6647398843930635
YAG,978,0.647239263803681
YAK,816,0.45098039215686275
YDG,987,0.5562310030395137
YDR,983,0.659206510681587
YFR,633,0.636650868878357
YFS,964,0.66701244813278
YHS,991,0.656912209889001
YIS,989,0.5328614762386249
YLS,972,0.6584362139917695
YMD,962,0.3762993762993763
YMS,970,0.6670103092783505
YRH,836,0.4916267942583732
YRK,956,0.3702928870292887
YRP,970,0.6628865979381443
YSD,989,0.627906976744186
YSL,974,0.4137577002053388
YTL,982,0.6558044806517311
