held_out_subject,n,accuracy
YAC,692,0.6632947976878613
YAG,978,0.6206543967280164
YAK,816,0.4950980392156863
YDG,987,0.4336372847011145
YDR,983,0.49643947100712105
YFR,633,0.5797788309636651
YFS,964,0.6576763485477178
YHS,991,0.6195761856710393
YIS,989,0.6511627906976745
YLS,972,0.6131687242798354
YMD,962,0.5228690228690228
YMS,970,0.588659793814433
YRH,836,0.6004784688995215
YRK,956,0.4497907949790795
YRP,970,0.6608247422680412
YSD,989,0.564206268958544
YSL,974,0.4620123203285421
YTL,982,0.6588594704684317
